Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xf91c0d5cf788138ad3549b640f7af4941896986b3313cae19d46dcbda9cc63b0","Success","Approve","41552794","2024-08-21 08:47:19","0x58f01Fc6008AAa504FAA0332ED35e965D3265209","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00032622"
"0x85361cbb080ac136d6d3b8442c363b367df95695934c3b38660b1f3b6e819f93","Success","Approve","41528442","2024-08-20 12:25:13","0xE28429097DF403Bb3f89070aC6e6078cb17ca307","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xa7154f52fdc41e48c25a9635e95a818fbf4f869df917ff7c4b350ad3ffa765d3","Success","Approve","41521411","2024-08-20 06:32:50","0xbbC091C2Ef99446531dc9F5328c3260C3a39F740","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xd6593292e414d2674a2e80fb4f016452e07782fb49387eb5389141c8a1e18383","Success","Approve","41520530","2024-08-20 05:48:33","0xdEc7d652E9C13Af3510ff4D1A945685Dd97EdC51","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0x478254f7c2a5041adf0a255f6906d814d6981324d9769969cd51e16220962922","Success","Approve","41514168","2024-08-20 00:29:38","0x0E267fE1f0bC4541f760687605fB2a092AA63C17","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0x3f08338b7c675896ec48d2d590fba8bd6ac4cb96d3c2aefea462d84d403abda3","Success","Transfer","41510754","2024-08-19 21:38:34","0xfBE327e311f8885af9b560fD423A95816BbdD8cE","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00007745"
"0x2d2d32bf1a9ab8eea34453417205f1a00a64fb857b9dd38975c7641f1ba3bca1","Success","Approve","41504924","2024-08-19 16:46:08","0x9A3C8785DbcEeB33201c817ACc5fba3c26b51681","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xa8696075cf7c1090d9b7bf52334082a328340ffb62a2b8e236b8a0e3f4ab5bd5","Success","Approve","41504180","2024-08-19 16:08:56","0x3e5A37E764CF828656010af190Efd0555EE6980F","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00005552"
"0x55170f3457010e2e69615ff825a126042446f8942d04b9cd766601db4f00b3bd","Success","Approve","41503770","2024-08-19 15:48:26","0x00d910a7d72A75892365dE78832840B18090c91A","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00004627"
"0x5e0dc7571f49c8f0c1ca3d708b1f9cd478dfb8af1c69164dbb60577483ba68a0","Success","Transfer","41503749","2024-08-19 15:47:23","0x92C449dDb9CadDA502447C0452f933e559865CA1","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00028362"
"0x1e558a4077294c0ce8138d918010ddd41bf1e36f10a7cf77a727dc2625f544a8","Success","Approve","41494338","2024-08-19 07:55:17","0x7A4103a35Df1e0a4e39a3ed3657792b5347Bf5Cb","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0x92a9814093b74c21f3c193b6a996f2e72b1db0246cb9a7f92861b8052a02c129","Success","Approve","41494264","2024-08-19 07:51:35","0x7A4103a35Df1e0a4e39a3ed3657792b5347Bf5Cb","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0xffbbead192fcab79fc91f1eb1b03fc4df5b4d5718adb9b9427a1c712eac48dbc","Success","Approve","41494097","2024-08-19 07:43:14","0x7A4103a35Df1e0a4e39a3ed3657792b5347Bf5Cb","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
"0x0c4fac2a6328be9492337f9b8170783020edb7359b5833750a6fbd38696d0879","Success","Approve","41482771","2024-08-18 22:15:43","0x3c2F048D40C9cF732701c7E3F185D5489cCF5A4A","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.00023301"
"0x014890b58c9a663059a62c1e742ac5316f6c56fbe4d74cc9066530e98f3039af","Success","Approve","41482319","2024-08-18 21:53:06","0xbbC091C2Ef99446531dc9F5328c3260C3a39F740","","0xB27ADAfFB9fEa1801459a1a81B17218288c097cc","PooCoin.app Pat Oto&#39;s","0 BNB","$0.00","0.0000466"
